sequence,module_id,title,type,level,cefr,items,tokens,unique_words,new_words,prior_token_coverage_pct,learning_targets,new_learning_targets,target_annotations,words_seen_once_in_module,exact_duplicate_items,cumulative_learning_targets
61,module-43,Theme: Emotions and Feelings,lesson,Intermediate,B1,30,254,75,18,76.4,15,14,72,34,0,533
62,module-25,📖 Reading: Caperucita Roja - Part 1,story,Intermediate,B1,10,89,60,23,68.5,12,2,12,44,0,535
63,module-28,Grammar: The Past Subjunctive,lesson,Advanced,B2,22,148,96,34,74.3,15,9,26,73,0,544
64,module-22,Chapter 22: Hypothetical Conditionals,lesson,Advanced,B2,30,174,89,36,70.1,15,12,39,63,0,556
65,review-22-23-24,"🔄 Review: Chapters 22, 23, 24",review,Advanced,B2,15,74,52,0,100.0,15,0,24,41,0,556
66,story-6,📖 Story: What Would You Do?,story,Advanced,B2,12,100,69,12,86.0,14,3,25,52,0,559
67,module-26,📖 Reading: Don Quijote de la Mancha - Excerpt,story,Advanced,C1,10,110,80,41,60.0,11,6,12,65,0,565
68,module-27,📖 Reading: Bécquer,story,Advanced,C1,10,113,73,30,67.3,10,3,10,47,0,568
69,module-34,📖 Reading: Mariposa del Aire,story,Advanced,C1,9,50,19,7,70.0,14,8,37,7,3,576
70,module-36,📖 Reading: Cien Años de Soledad,story,Advanced,C1,5,50,43,20,60.0,12,2,17,40,0,578
